水産,海に囲まれた国、日本は世界屈指の魚食国だ。しかしながら、水産白書によると、日本人1人あたりの年間魚介類消費量は過去10年以上にわたり減少を続け、2001年度の年間40.2キログラムから、2013年度には同27.0kgまで3割以上減っている。一方、魚介類への出費額は消費量ほどは落ち込んでいない。そのため、水産物への消費意欲が落ちたわけではなく、水産物の値上がりなどの理由により、購入できる量が減ったのだとみられている。株式市場においては、水産業のうちマグロ養殖やウナギ養殖などに対する注目が高く、これらに関連したニュースに対する株価感応度は高い。
水産資源,日本周辺、および世界の各海域における水産資源で日本は常に論争の中心にある。マグロやウナギなど、日本人の好む品種が数を減らしており、その他の魚種でも減少傾向に歯止めが掛かっていないためだ。水産資源をめぐる動向としては、かつては難しかったマグロ養殖が事業化に成功しつつあり、株式市場での注目は高い。
マグロ,「マグロ」は、すしネタや、さしみ用として日本人には馴染みの深い水産資源だ。近年では、世界的な日本食ブームもあり、世界的にも需要が増加している。一方で、国際自然保護連合は2014年、乱獲で激減した太平洋クロマグロを絶滅危惧種に指定した。漁獲量、消費量ともに世界一の日本は国際社会から批判されることも多く、「完全養殖」が待たれている。
養殖マグロ,すしネタや、さしみ用として日本人には馴染みの深い「マグロ」だが、近年、日本食が世界的なブームとなっていることもあって乱獲が問題視されている。2014年には国際自然保護連合が太平洋クロマグロを絶滅危惧種に指定したことをきっかけに、責任ある消費活動を行うべきだという意見が先進国を中心に高まっており、「完全養殖」への取り組みには高い関心が寄せられている。現在、一般的な養殖業者は、クロマグロの幼魚である「ヨコワ」を仕入れ、生け簀で2～3年かけて育てた上で出荷しているが、ヨコワの漁獲規制が強化される方向にあることから、「完全養殖」に注目が高まっている。2002年に近畿大学がクロマグロの「完全養殖」に初めて成功し、04年に初出荷してからはや10年超が経っているが、水産大手もここにきて本格出荷への体制を整えつつあり、ビジネス規模が一気に拡大する可能性がある。
冷凍食品,「冷凍食品」は、貯蔵できるように冷凍した食品。食品衛生法では「調理または加工した食品を容器包装に入れて凍結させたもの」を指す。食品を凍結することによって微生物の繁殖と酵素の作用を停止させ、食品の腐敗変質を防ぐことで長期保存が可能になる。 働く女性が増加し、家事における“時短”が求められていることや、単身世帯が増加していることなどの社会的ニーズに加えて、食品ロスへの関心が高まるなかで必要な分を必要な時に使用できるといった消費者ニーズ、また、味や栄養面、冷凍技術などの企業努力により市場は拡大しており、国内の工場出荷額は7180億円(前年比4.5%増)と拡大を続けている。 近年では、購入スタイルもスーパーマーケットばかりではなく、コンビニエンスストアやドラッグストアなどに裾野が広がりつつあり、これも市場拡大に寄与しているが、一方で競争が激しい分野でもある点には注意が必要だ。
インスタント食品,"簡単で短時間の調理により、食べられるように加工された貯蔵性食品。即席食品、あるいはインスタント食品ともいい、一般的には即席めんやレトルトカレーなどを指す。広い意味では缶詰・瓶詰食品や冷凍食品、乾燥食品などの加工食品も含む,"
内食,「ないしょく」「うちしょく」。食堂やレストランなど家の外へ出かけて食事をする「外食」の対義語で、家で素材から調理したものを食べることをいう。ただし、惣菜や弁当など、外で買ってきたものを家で食べることを外食と内食の中間という意味で「中食」と呼び、区別される。消費者の節約志向などを背景に需要が高まる傾向がある。
和食,和食とは、日本の伝統的な食文化のことを指し、日本で培われた独特の調理法でつくられた料理。2013年12月に「和食」がユネスコ無形文化遺産に登録されて以降、海外で注目度が高まっている。
養殖,"有用水産生物を比較的狭い水域で,人工的かつ計画的に繁殖、飼育すること、またはその技術。株式市場で注目されているのは、従来から長いあいだ「養殖は不可能」とされていた「マグロ」や「ウナギ」など市場性の高い水産生物の養殖に関する技術や、これに関連した餌を開発する企業。日本の企業は、こうした分野の完全養殖に向けて世界トップ水準の技術をもつ。"
ディフェンシブ,防御的な、という意味。景気の変動の影響を受けにくく、業績が安定している業種をディフェンシブ関連と称し、それに属する銘柄をディフェンシブ銘柄という。具体的には、生活必需品である食品や医薬品、社会インフラである電力・ガスや鉄道、通信といった業種を指す。
